symbol,direction,entry,exit,hold_hours,count,win_rate,avg_return,sharpe
USDJPYm,long,23:30,03:30,4,22,0.7727272727272727,0.0009309004937528959,0.9112339407904122
USDJPYm,long,23:00,04:00,5,22,0.8181818181818182,0.001113339713159447,0.9035085074831792
USDJPYm,long,22:30,03:30,5,22,0.8181818181818182,0.0012446942430402765,0.8987936971552696
USDJPYm,long,23:30,05:30,6,22,0.7272727272727273,0.0009365675629671292,0.8896461906973604
CADCHFm,long,01:00,13:00,12,17,0.8235294117647058,0.0006960539288078776,0.8366000926407208
NZDUSDm,long,03:00,09:00,6,17,0.7647058823529411,0.0006445932987656623,0.8349422729677196
EURAUDm,short,17:00,23:00,6,22,0.8636363636363636,0.0007891336285847296,0.8258690425931379
USDJPYm,long,22:30,05:30,7,22,0.7272727272727273,0.0012505737390833827,0.8032637823669273
CADCHFm,long,02:00,13:00,11,17,0.7647058823529411,0.0006092379220297088,0.80135782707783
NZDUSDm,long,04:00,09:00,5,17,0.7647058823529411,0.000514071937204158,0.7960985589309717
USDJPYm,long,22:30,04:30,6,22,0.8181818181818182,0.001198666404987873,0.7922645878337008
EURCHFm,long,02:00,13:00,11,17,0.8235294117647058,0.0004965302337015719,0.7918788844864058
USDJPYm,long,01:00,04:00,3,22,0.8181818181818182,0.000600655859335246,0.7677141817370498
USDJPYm,long,23:00,03:00,4,22,0.7727272727272727,0.0009707929552987128,0.7618076564696201
EURAUDm,short,18:00,22:00,4,22,0.7272727272727273,0.0006675946847496898,0.760755619003539
EURUSDm,long,03:00,09:00,6,17,0.7647058823529411,0.00034140906467400496,0.7581439887127532
USDJPYm,long,22:30,02:30,4,22,0.7727272727272727,0.0010662960283098295,0.7574952046463878
USDJPYm,short,04:00,09:00,5,17,0.8235294117647058,0.00045355667793515515,0.7566869887821059
EURAUDm,short,17:00,22:00,5,22,0.7727272727272727,0.000684531894911772,0.7562155632842232
USDJPYm,long,23:30,08:30,9,17,0.8235294117647058,0.0007330083631930271,0.7547803841076844
CADCHFm,long,01:30,12:30,11,17,0.7647058823529411,0.0005912749927664045,0.7506508820393863
AUDCADm,short,22:00,07:00,9,17,0.7058823529411765,0.0005518563291480407,0.7497084490139511
EURCHFm,long,01:30,13:30,12,17,0.7647058823529411,0.0005477491734240071,0.746323515079445
EURJPYm,long,23:30,03:30,4,22,0.7727272727272727,0.00045119086291188644,0.7457853116442514
EURAUDm,short,18:00,23:00,5,22,0.7727272727272727,0.0007720949872288643,0.7431419355086488
EURNZDm,short,18:00,22:00,4,22,0.6363636363636364,0.0007020970077844587,0.7430068005753172
USDJPYm,long,23:30,04:30,5,22,0.7727272727272727,0.0008848896150328655,0.7426484220812546
EURCHFm,long,02:00,14:00,12,17,0.8823529411764706,0.0004652828056619459,0.7373346964860503
EURNZDm,short,18:00,23:00,5,22,0.7272727272727273,0.0008736760875079686,0.7360136262810878
EURUSDm,long,05:00,09:00,4,17,0.7647058823529411,0.00018568056796337213,0.7336379599257047
CADCHFm,long,01:30,13:30,12,17,0.7647058823529411,0.0006633907762126964,0.7268858717759609
USDJPYm,long,23:00,05:00,6,22,0.7727272727272727,0.0010005598293049112,0.7170834262909624
EURCHFm,long,01:00,13:00,12,17,0.8235294117647058,0.0004884858471285924,0.7163564572370466
GBPNZDm,short,01:30,08:30,7,17,0.8235294117647058,0.0004995207539883722,0.7156830517218659
EURAUDm,short,17:30,23:30,6,22,0.7727272727272727,0.0007246345373356875,0.7123204629689072
EURCHFm,long,01:30,12:30,11,17,0.7058823529411765,0.000485490946820976,0.7088304970229105
CADCHFm,long,02:00,14:00,12,17,0.7647058823529411,0.0005268607154890228,0.7077622492157899
