symbol,direction,entry,exit,hold_hours,count,win_rate,avg_return,sharpe
USDJPYm,long,23:30,07:30,8,52,0.6346153846153846,0.0005883596549330446,0.4336447591302976
USDJPYm,long,23:30,08:30,9,52,0.6923076923076923,0.0006214425147209665,0.42277190070496357
EURAUDm,short,18:00,23:00,5,65,0.676923076923077,0.00054481231636786,0.4219361560198744
USDJPYm,long,23:30,09:30,10,52,0.7307692307692307,0.0006667842902753802,0.42181241930725494
EURAUDm,short,17:00,23:00,6,65,0.6923076923076923,0.0005523229830435677,0.41488341430089526
EURAUDm,short,17:30,21:30,4,65,0.7230769230769231,0.0003362058086026115,0.3947550151392716
EURAUDm,short,17:30,23:30,6,65,0.676923076923077,0.0005325368929143845,0.39216980054866485
USDJPYm,long,23:00,02:00,3,65,0.6461538461538462,0.0004498163953894647,0.38910409547522984
USDJPYm,long,23:00,10:00,11,52,0.6730769230769231,0.0006543835551813653,0.38864444949111465
EURAUDm,short,18:00,21:00,3,65,0.6153846153846154,0.0002979545598498385,0.38829688760533854
EURAUDm,short,18:00,22:00,4,65,0.6153846153846154,0.00039122865509323446,0.3772099280297231
USDJPYm,long,23:00,09:00,10,52,0.6923076923076923,0.0005809518936102052,0.373411951502284
EURAUDm,short,18:00,00:00,6,65,0.6923076923076923,0.0005378050377697861,0.36916871859486555
USDJPYm,long,23:00,08:00,9,52,0.6730769230769231,0.0005928642386794613,0.3691210915215314
USDJPYm,long,23:00,05:00,6,65,0.7076923076923077,0.000542997073136252,0.3667664654585807
EURAUDm,short,17:00,22:00,5,65,0.6461538461538462,0.00039873556066902206,0.36537287971317295
EURAUDm,short,17:30,00:30,7,65,0.6923076923076923,0.0005350789509863275,0.3586979871174341
USDJPYm,long,23:30,04:30,5,65,0.676923076923077,0.0004909078506979002,0.3564399030862676
USDJPYm,long,00:30,09:30,9,52,0.6923076923076923,0.0004980736778488122,0.355771242134012
USDJPYm,long,00:30,07:30,7,52,0.6346153846153846,0.0004197161808776551,0.3530530596229583
EURAUDm,short,17:00,00:00,7,65,0.6615384615384615,0.0005452380135349633,0.3530248576343802
USDJPYm,long,00:30,08:30,8,52,0.6153846153846154,0.00045275980168524613,0.3509931026216379
EURAUDm,short,17:30,22:30,5,65,0.6615384615384615,0.0003977872333769636,0.3509037475191454
USDJPYm,long,23:00,07:00,8,52,0.6538461538461539,0.0005583371911403435,0.34980828927830904
EURAUDm,short,18:00,01:00,7,65,0.6923076923076923,0.0005372881339912785,0.3491225027724053
EURNZDm,short,18:00,23:00,5,65,0.6461538461538462,0.0004537555124673778,0.34801377168865544
USDJPYm,long,00:00,08:00,8,52,0.6153846153846154,0.0005037592283469841,0.3462525572309488
EURAUDm,short,17:00,01:00,8,65,0.6923076923076923,0.0005447491863438791,0.3395034120509839
USDJPYm,long,00:00,07:00,7,52,0.6730769230769231,0.0004692053681936208,0.3298111840209487
EURAUDm,short,17:00,21:00,4,65,0.6461538461538462,0.00030538135000470065,0.3277997692150059
USDJPYm,long,23:00,11:00,12,52,0.6923076923076923,0.0006189587112597585,0.32228869463788556
USDJPYm,long,00:00,10:00,10,52,0.6346153846153846,0.0005656493577316907,0.31903008086281515
USDJPYm,long,00:00,05:00,5,65,0.7076923076923077,0.00039989032132750255,0.3186842077600037
AUDCHFm,long,17:30,02:30,9,65,0.6923076923076923,0.0007138372551804705,0.318297615752813
USDJPYm,long,00:00,09:00,9,52,0.6538461538461539,0.0004920599668431715,0.3181825127635804
EURAUDm,short,18:30,23:30,5,65,0.6461538461538462,0.00044282899436346763,0.3162474046625917
USDJPYm,long,23:30,03:30,4,65,0.6307692307692307,0.0003716385852066212,0.3129037801489836
EURAUDm,short,17:30,02:30,9,65,0.6461538461538462,0.0005044165997203526,0.3097405961369376
USDJPYm,long,23:30,05:30,6,65,0.6923076923076923,0.000494567479315479,0.30696059551560223
EURAUDm,short,18:00,02:00,8,65,0.676923076923077,0.00049750315122342,0.3052910164846583
AUDCHFm,long,16:30,02:30,10,65,0.6307692307692307,0.0007052403144798881,0.305130866181519
EURJPYm,long,23:30,09:30,10,52,0.6153846153846154,0.0005198080238483867,0.3044029657963201
EURAUDm,short,17:30,01:30,8,65,0.676923076923077,0.0004661467304239741,0.3031819454390377
EURAUDm,short,16:30,23:30,7,65,0.6307692307692307,0.0004861276857353691,0.30289290056616175
EURAUDm,short,17:00,02:00,9,65,0.6153846153846154,0.0005049980473645887,0.30213406020427475
AUDCHFm,long,18:00,22:00,4,65,0.6461538461538462,0.00037463134055886024,0.30059793121038414
AUDCHFm,long,17:00,02:00,9,65,0.6307692307692307,0.0006587013024651918,0.29964205209868744
GBPAUDm,short,17:00,22:00,5,65,0.6307692307692307,0.0004396249851487277,0.2968176294884734
GBPAUDm,short,18:00,22:00,4,65,0.6,0.0003958735247115327,0.29669764401446336
EURAUDm,short,17:00,04:00,11,65,0.6615384615384615,0.0005030075162103391,0.2961895012012775
EURAUDm,short,18:00,04:00,10,65,0.6923076923076923,0.0004954847202179682,0.2959538611864177
AUDCHFm,long,17:00,03:00,10,65,0.6461538461538462,0.0006868083206671664,0.29537217598908455
EURAUDm,short,14:00,23:00,9,65,0.6,0.0004992681765570821,0.295300753055444
US30m,long,14:00,23:00,9,65,0.676923076923077,0.001321253685398338,0.29501089595030155
AUDUSDm,long,18:00,23:00,5,65,0.6461538461538462,0.0006781822197951149,0.29463895878308655
AUDCHFm,long,18:00,02:00,8,65,0.676923076923077,0.0006454679996520909,0.29299228957621654
AUDUSDm,long,17:30,22:30,5,65,0.6153846153846154,0.0005209396028741284,0.29299094795237224
AUDUSDm,long,18:30,22:30,4,65,0.6615384615384615,0.0005135641266282803,0.29127754893133445
AUDCHFm,long,18:00,03:00,9,65,0.7076923076923077,0.0006735564924703435,0.2901326164053638
US30m,long,15:00,23:00,8,65,0.6615384615384615,0.0012672491961107871,0.28877066325836676
AUDCHFm,long,18:00,21:00,3,65,0.6461538461538462,0.00028352822715905135,0.2884271571778614
EURAUDm,short,14:30,23:30,9,65,0.6307692307692307,0.0005158930334032559,0.28656929275531334
EURJPYm,long,23:00,10:00,11,52,0.6538461538461539,0.00047569509823175725,0.28485219009463986
AUDCHFm,long,17:00,22:00,5,65,0.6461538461538462,0.00038804003204685473,0.2820423538221916
EURAUDm,short,18:30,00:30,6,65,0.676923076923077,0.000445296862605251,0.2820322566733528
EURAUDm,short,18:30,21:30,3,65,0.6,0.00024651678520174386,0.2813311994705792
EURAUDm,short,16:00,23:00,7,65,0.6615384615384615,0.0004519157304265512,0.2807445052320075
AUDCHFm,long,17:00,04:00,11,65,0.6,0.0006725359909237012,0.28000393536070617
EURAUDm,short,18:00,03:00,9,65,0.6615384615384615,0.0004696897029814718,0.2797127772884321
AUDCHFm,long,17:00,01:00,8,65,0.676923076923077,0.0005784057205452589,0.2793136657292359
AUDUSDm,long,18:00,00:00,6,65,0.6,0.000625800952120035,0.278611723396292
CADJPYm,long,23:30,09:30,10,52,0.5576923076923077,0.0005175682898176699,0.2773213643705116
EURAUDm,short,17:00,03:00,10,65,0.6615384615384615,0.0004771818678072855,0.27718627793987616
EURCHFm,long,23:30,11:30,12,52,0.5961538461538461,0.0002795087584301189,0.2764430119697221
AUDCHFm,long,17:30,00:30,7,65,0.676923076923077,0.0005642891532172093,0.2763931621902716
AUDCHFm,long,14:30,02:30,12,65,0.6153846153846154,0.0006928431993163331,0.27637700893428374
CADJPYm,long,23:00,10:00,11,52,0.5769230769230769,0.0005186641680901477,0.27634906827987626
GBPAUDm,short,17:30,21:30,4,65,0.6615384615384615,0.0003450525684387606,0.27622551272193374
USDJPYm,long,23:30,02:30,3,65,0.676923076923077,0.0003551934556470086,0.27597360563139595
