symbol,direction,entry,exit,hold_hours,count,win_rate,avg_return,sharpe
EURJPYm,long,23:00,05:00,6,130,0.5846153846153846,0.00028328470586823243,0.19726187869012715
US30m,long,13:00,21:00,8,129,0.6124031007751938,0.0007633016812982766,0.1972160067568801
AUDUSDm,long,19:30,23:30,4,129,0.627906976744186,0.0005826738625553557,0.19653572334208805
JP225m,long,22:30,08:30,10,104,0.5480769230769231,0.002318790811657113,0.19626546848819185
EURAUDm,short,17:00,01:00,8,129,0.6124031007751938,0.0004113442284567498,0.19607833718397288
AUDCHFm,long,15:00,02:00,11,129,0.5813953488372093,0.0005362146416916755,0.1960208403679335
AUDUSDm,long,18:00,00:00,6,129,0.5813953488372093,0.0006011933147838369,0.19592501572322096
JP225m,long,20:00,08:00,12,104,0.5576923076923077,0.002692640433927217,0.19490631077856208
EURAUDm,short,17:00,23:00,6,129,0.5891472868217055,0.0003434214770784153,0.19487859838540675
US30m,long,12:00,20:00,8,129,0.5968992248062015,0.000648322887323925,0.19476603388331343
JP225m,long,19:30,07:30,12,104,0.5288461538461539,0.002542642959661996,0.19472032310928536
US30m,long,16:00,23:00,7,129,0.5736434108527132,0.0010472178362853567,0.1946152318440082
US30m,long,10:30,20:30,10,129,0.6201550387596899,0.0008347183080327975,0.19419890986501787
AUDUSDm,long,14:00,00:00,10,128,0.59375,0.000724407460685712,0.19418321203400035
XAUUSDm,short,11:00,15:00,4,128,0.5703125,0.0011187241636868763,0.19411788737377914
AUDUSDm,long,15:00,23:00,8,128,0.578125,0.0006520842024604751,0.19402724936378699
AUDCHFm,long,18:30,00:30,6,130,0.5846153846153846,0.00043130835465860824,0.1939539209624491
US30m,long,13:00,22:00,9,129,0.6046511627906976,0.0008853189019026933,0.19327980224633057
AUDCHFm,long,18:00,05:00,11,130,0.6,0.0005357287588297611,0.19285217177016362
AUDCADm,long,15:00,00:00,9,128,0.59375,0.0005482393217938765,0.1924709149958927
USDJPYm,long,00:00,07:00,7,104,0.6153846153846154,0.00028732508771449144,0.19231863013084802
AUDCHFm,long,18:30,04:30,10,130,0.5769230769230769,0.0005197696267596421,0.19212284262436163
JP225m,long,20:00,07:00,11,104,0.5865384615384616,0.0024030844508157994,0.19203524639485584
USDJPYm,long,00:00,06:00,6,80,0.575,0.00024168884469098466,0.19173999491522203
AUDCHFm,long,16:30,01:30,9,130,0.6076923076923076,0.00046870288098830096,0.19159289248054473
EURJPYm,long,01:00,09:00,8,104,0.49038461538461536,0.00023941648653574163,0.19076363138007713
AUDCHFm,long,17:00,23:00,6,130,0.5615384615384615,0.00040008421636944725,0.190682412804372
AUDCHFm,long,15:30,03:30,12,129,0.5658914728682171,0.0005340145847900182,0.1905008200729005
AUDUSDm,long,16:00,00:00,8,129,0.5891472868217055,0.0006597055100989285,0.18998470110952953
US30m,long,15:00,20:00,5,129,0.5891472868217055,0.0005892035318050612,0.1891244606459907
AUDCHFm,long,22:30,02:30,4,130,0.6076923076923076,0.0003417906562721228,0.18906845445926126
EURJPYm,long,00:00,09:00,9,104,0.5288461538461539,0.00027005142634069543,0.1889031026793459
XAUUSDm,short,11:00,14:00,3,128,0.6015625,0.0007459928811725173,0.1887553444686832
USDJPYm,long,00:30,07:30,7,104,0.5961538461538461,0.0002459954057367191,0.18873821532254034
US30m,long,14:30,22:30,8,128,0.6015625,0.0008854838283467916,0.1886450346189853
XAUUSDm,long,05:00,09:00,4,102,0.5098039215686274,0.0011291036186919276,0.18854912407528582
AUDCADm,long,17:00,00:00,7,129,0.5658914728682171,0.0004954088438049723,0.18839547959334974
JP225m,long,19:00,07:00,12,104,0.5865384615384616,0.0023358114573448323,0.1882705550480963
AUDUSDm,long,12:00,00:00,12,128,0.6015625,0.0007117007068978249,0.18765636024936386
AUDCHFm,long,19:00,02:00,7,130,0.5923076923076923,0.00042440895273526414,0.1876550785569864
AUDUSDm,long,13:00,00:00,11,128,0.6015625,0.0007035080696870058,0.18689643967503994
AUDCHFm,long,20:00,03:00,7,130,0.6307692307692307,0.00042851830930576776,0.1866215096102038
EURAUDm,short,18:00,00:00,6,129,0.5891472868217055,0.00037139873539869056,0.18648830112449707
AUDCADm,long,12:00,00:00,12,129,0.6124031007751938,0.000551424090326049,0.1864065707709748
USDJPYm,short,19:30,22:30,3,129,0.4883720930232558,0.0003398798627020963,0.18610168082334616
USDJPYm,long,00:30,11:30,11,104,0.6346153846153846,0.0003643346384394486,0.1859448304247214
US30m,long,11:30,22:30,11,128,0.5859375,0.0008890319677713921,0.18589455452036074
EURJPYm,long,21:30,09:30,12,104,0.6634615384615384,0.00037473896359410783,0.18588114855484034
AUDCHFm,long,15:30,00:30,9,129,0.5813953488372093,0.0004517113699065619,0.18583331097642988
CADJPYm,long,23:00,11:00,12,104,0.5673076923076923,0.0003975457125337005,0.18544075478412314
XAUUSDm,short,00:30,05:30,5,126,0.6111111111111112,0.0013078572722894429,0.18496360330270087
EURJPYm,long,00:30,08:30,8,104,0.5096153846153846,0.00023428491352549816,0.18487912030456524
EURJPYm,long,23:30,03:30,4,130,0.5538461538461539,0.00019434854176182713,0.18482780584459588
XAUUSDm,long,04:30,09:30,5,102,0.5784313725490197,0.001108720851372676,0.18459212459067914
US30m,long,16:00,00:00,8,129,0.5813953488372093,0.0011647392044191764,0.18395080367422748
US30m,long,13:30,19:30,6,129,0.6124031007751938,0.0005221046908737393,0.18386037326345878
EURAUDm,short,16:30,23:30,7,129,0.5968992248062015,0.0003620137830785442,0.1834865822566921
US30m,long,16:30,23:30,7,129,0.5581395348837209,0.0010801947236500338,0.18320569444444793
US30m,long,14:00,17:00,3,129,0.5658914728682171,0.000373080600449231,0.18314975941316797
US30m,long,15:30,21:30,6,129,0.5736434108527132,0.0007528239870822288,0.18309946067851296
JP225m,long,20:30,07:30,11,104,0.5576923076923077,0.00224376104409838,0.18296690461093068
AUDUSDm,long,17:00,23:00,6,129,0.5813953488372093,0.0005475131405855488,0.1826961172332908
US30m,long,13:00,20:00,7,129,0.5891472868217055,0.0005943774605399577,0.1825301353485703
AUDCADm,long,18:00,00:00,6,129,0.5658914728682171,0.00043537252671065155,0.18247441434333328
JP225m,long,21:00,08:00,11,104,0.5673076923076923,0.0022672206597859628,0.18220332957875496
AUDUSDm,long,19:00,00:00,5,129,0.5813953488372093,0.0005404622405351859,0.1815121810074409
EURAUDm,short,18:30,02:30,8,129,0.6201550387596899,0.00038252169919742314,0.18100108291884465
US30m,long,18:00,23:00,5,129,0.5348837209302325,0.0008974859971250194,0.18099812396093035
USDJPYm,long,00:30,09:30,9,104,0.6346153846153846,0.0002976405495927367,0.18031303732793239
AUDUSDm,long,18:30,00:30,6,129,0.6046511627906976,0.0005439954070057981,0.18021824905584516
US30m,long,09:30,21:30,12,129,0.6124031007751938,0.0008407014587027372,0.17937798257589485
CADJPYm,long,23:00,09:00,10,104,0.5288461538461539,0.000331235452785171,0.17930438322949066
EURAUDm,short,18:30,00:30,6,129,0.6201550387596899,0.0003517450271866751,0.17921845474909576
XAUUSDm,short,23:30,05:30,6,126,0.5714285714285714,0.0014576988394227268,0.17900832131228883
AUDCHFm,long,15:00,01:00,10,129,0.5581395348837209,0.0004680591386644605,0.1787362393100934
JP225m,long,01:30,08:30,7,104,0.5288461538461539,0.0014931093562140806,0.17860048726141955
AUDCADm,long,14:00,00:00,10,129,0.5891472868217055,0.0005111125825622065,0.1784862943161465
AUDCHFm,long,15:00,00:00,9,129,0.5581395348837209,0.0004456835451972526,0.17834480599138616
XAUUSDm,long,05:30,08:30,3,102,0.5392156862745098,0.0006670184210510102,0.1783182838137831
USDJPYm,long,00:30,03:30,3,130,0.6538461538461539,0.00020306692899221381,0.17824040824753568
EURAUDm,short,16:30,02:30,10,129,0.5813953488372093,0.0004004397773002448,0.17817148232438906
JP225m,long,21:00,07:00,10,104,0.6057692307692307,0.001979275181633519,0.17804270720347093
AUDJPYm,long,23:00,08:00,9,104,0.5576923076923077,0.00045542864157297917,0.17772401160959217
CADJPYm,long,23:00,08:00,9,104,0.5769230769230769,0.0003117101560761336,0.17743860564707256
EURAUDm,short,17:00,03:00,10,129,0.6046511627906976,0.0004011739368140906,0.1774263662075493
AUDJPYm,long,20:00,08:00,12,104,0.6442307692307693,0.0005463326118141454,0.17734770736156985
AUDCHFm,long,18:30,01:30,7,130,0.6,0.00042113458989062944,0.1773047431768026
US30m,long,09:00,21:00,12,129,0.6046511627906976,0.0007863232046782876,0.17662248615886428
US30m,long,12:30,19:30,7,129,0.6046511627906976,0.0005213872729798924,0.17646666263377198
EURJPYm,long,22:30,09:30,11,104,0.5865384615384616,0.00034216335141580855,0.17629628476174267
USDJPYm,long,00:00,08:00,8,104,0.5769230769230769,0.0002793161932240242,0.1762004032574598
JP225m,long,21:30,07:30,10,104,0.5769230769230769,0.0020059374279195736,0.17600900138726616
XAUUSDm,short,00:30,03:30,3,126,0.626984126984127,0.0009265142677562457,0.17584877252760026
AUDCHFm,long,14:00,02:00,12,129,0.5426356589147286,0.0005020890175933038,0.17534002493322487
AUDCHFm,long,20:00,02:00,6,130,0.6230769230769231,0.0003812707800161682,0.17507823437468378
EURAUDm,short,17:30,01:30,8,129,0.6434108527131783,0.00036005052513355627,0.17505403996959967
US30m,long,18:30,23:30,5,129,0.5891472868217055,0.0009435353554015989,0.1749139073098723
AUDCADm,long,13:00,00:00,11,129,0.5891472868217055,0.0005116339488863751,0.1748847822447729
AUDCHFm,long,21:30,02:30,5,130,0.6,0.0003534864781183086,0.17472724637015075
EURAUDm,short,16:30,00:30,8,129,0.5968992248062015,0.00036963774204526977,0.17446637749058025
AUDCHFm,long,17:30,20:30,3,130,0.5384615384615384,0.0002450075650651501,0.17440150330901943
US30m,long,17:30,23:30,6,129,0.5658914728682171,0.000979909482695177,0.17437392999496168
US30m,long,18:00,00:00,6,129,0.5658914728682171,0.0010140916500406083,0.17419315841061503
US30m,long,11:00,22:00,11,129,0.6201550387596899,0.0007855579152405556,0.1741792022609913
AUDJPYm,long,22:30,08:30,10,104,0.5865384615384616,0.0004886776969340358,0.17373805212879545
AUDUSDm,long,15:00,22:00,7,128,0.578125,0.0004991026498028443,0.17329790085558014
EURAUDm,short,18:00,02:00,8,129,0.6356589147286822,0.0003660967887720535,0.17307645308858297
EURAUDm,short,16:00,00:00,8,129,0.5581395348837209,0.00039150311715918456,0.17294222132453516
AUDUSDm,long,17:30,00:30,7,129,0.5658914728682171,0.0005342042785193023,0.1727775281278672
AUDCHFm,long,16:30,23:30,7,130,0.5846153846153846,0.00038697464479073345,0.17264602711241764
AUDCHFm,long,18:30,23:30,5,130,0.5307692307692308,0.0003390084308802827,0.172356515914958
US30m,long,11:00,21:00,10,129,0.6124031007751938,0.0006638147469282411,0.17208691839263252
US30m,long,10:30,21:30,11,129,0.6356589147286822,0.0007536957732730388,0.17196514025012177
AUDJPYm,long,21:30,08:30,11,104,0.6057692307692307,0.0005031070811414876,0.17188388319131986
GBPJPYm,long,23:00,11:00,12,104,0.5576923076923077,0.00037072120231112837,0.17161683008639203
XAUUSDm,short,11:30,18:30,7,128,0.6015625,0.0012788323531270477,0.1715361529854978
AUDUSDm,long,14:30,00:30,10,128,0.5859375,0.000640331252626722,0.17151455503453844
AUDCHFm,long,19:30,03:30,8,130,0.6230769230769231,0.00040844657657773545,0.17143092236398794
US30m,long,17:00,23:00,6,129,0.5426356589147286,0.0009240987222747121,0.17128736046562953
AUDUSDm,long,20:00,00:00,4,129,0.5736434108527132,0.0005263963668439503,0.17123939675258076
AUDCHFm,long,20:30,02:30,6,130,0.5923076923076923,0.0003700858882718501,0.17115591085599005
AUDCHFm,long,15:30,01:30,10,129,0.5891472868217055,0.0004330240236348761,0.170939514722578
AUDUSDm,long,14:00,23:00,9,128,0.5703125,0.0005860471580568587,0.1708844701754125
EURJPYm,long,00:30,07:30,7,104,0.5,0.00021327454860245123,0.17079019138207713
GBPUSDm,long,19:30,23:30,4,129,0.5968992248062015,0.00039850822387529666,0.17072124421704546
XAUUSDm,short,23:30,03:30,4,126,0.6111111111111112,0.0010785106139046617,0.17072078612916572
US30m,long,15:30,22:30,7,128,0.5859375,0.0008155295848522727,0.17054360628951168
EURAUDm,short,18:00,01:00,7,129,0.6124031007751938,0.00035781578437690196,0.17046136331999245
AUDCADm,long,18:30,00:30,6,129,0.5658914728682171,0.00039053908265358544,0.17039936721335813
EURAUDm,short,18:00,23:00,5,129,0.5968992248062015,0.00028998815611405975,0.1699428499808555
EURJPYm,long,21:00,09:00,12,104,0.6153846153846154,0.0003542642406195881,0.1697003800425821
USDJPYm,long,01:00,10:00,9,104,0.6153846153846154,0.000294305723053237,0.16935614678976024
US30m,long,16:30,20:30,4,130,0.5692307692307692,0.0007055008341363372,0.16934633072166244
GBPJPYm,long,07:00,10:00,3,129,0.6046511627906976,0.0002334589148018444,0.1687840853023976
AUDCHFm,long,18:00,23:00,5,130,0.5769230769230769,0.0003309453414725593,0.1686711499628034
XAUUSDm,short,11:00,19:00,8,128,0.59375,0.0013946607497625156,0.16863127081275076
US30m,long,14:30,19:30,5,129,0.5968992248062015,0.00046610884354752194,0.1685212422186537
USDJPYm,long,01:00,04:00,3,130,0.6461538461538462,0.0001909492321185304,0.16805069624985278
AUDJPYm,long,23:00,02:00,3,130,0.5692307692307692,0.0002749879959135512,0.16771303560418374
AUDCHFm,long,18:30,05:30,11,130,0.6076923076923076,0.0004648352902003693,0.16754183387196098
US30m,long,17:00,00:00,7,129,0.5503875968992248,0.0010408171406103449,0.16741707992768376
AUDCHFm,long,22:00,03:00,5,130,0.5846153846153846,0.00034254592746530647,0.16717771260431266
AUDCADm,long,17:30,00:30,7,129,0.5503875968992248,0.00040814747108446043,0.1671627834329818
AUDCADm,long,12:30,00:30,12,129,0.5813953488372093,0.0004905257642517561,0.1669941370151057
EURAUDm,short,16:00,02:00,10,129,0.5503875968992248,0.0003863407099051905,0.16699004707158052
AUDCHFm,long,19:00,04:00,9,130,0.5846153846153846,0.0004134577187240493,0.16687935944552879
AUDUSDm,long,12:00,23:00,11,128,0.609375,0.0005731286237330747,0.16682469018952123
GBPUSDm,long,13:30,23:30,10,128,0.5703125,0.0004947358259770407,0.16612311858840728
US30m,long,19:30,23:30,4,129,0.5891472868217055,0.0008930826592517924,0.16603952329976648
USDJPYm,short,19:00,23:00,4,129,0.4496124031007752,0.0005257582186571983,0.16603372262814864
EURAUDm,short,16:00,01:00,9,129,0.5813953488372093,0.0003781062682161533,0.1659655016560736
